                      %P                     obs                       s                guesserr                   error     directory
              0.37430169               1862.5596                12.69707           7.9428164e-10           2.1125917e-16   search-126/
              0.37569135               1876.3676               12.797066           7.7798041e-10           2.1584067e-16   search-127/
              0.37707598               1890.1765               12.897062           7.6212733e-10           9.9838516e-19   search-128/
              0.37845563               1903.9864               12.997059           7.4671151e-10            2.255738e-18   search-129/
              0.37983035               1917.7973               13.097055           7.3171494e-10           3.2035696e-18   search-130/
              0.38120021               1931.6091               13.197051           7.1712442e-10           2.0806886e-16   search-131/
              0.38256524               1945.4218               13.297047           7.0292579e-10           2.9895896e-18   search-132/
               0.3839255               1959.2355               13.397043           6.8910571e-10           5.8564316e-19   search-133/
              0.38528104               1973.0501                13.49704           6.7565178e-10           1.5095656e-18   search-134/
              0.38663191               1986.8656               13.597036           6.6255228e-10           2.0530363e-16   search-135/
              0.38797815               2000.6819               13.697033           6.4979461e-10           2.1504009e-16   search-136/
              0.38931982               2014.4992               13.797029           6.3736744e-10           3.5817248e-18   search-137/
              0.39065695               2028.3173               13.897026           6.2526287e-10           3.8006191e-18   search-138/
              0.39198959               2042.1362               13.997022           6.1346509e-10           5.1226095e-18   search-139/
              0.39331779                2055.956               14.097019           6.0196969e-10           4.0199199e-16   search-140/
              0.39464159               2069.7766               14.197016            5.907643e-10           3.1910435e-18   search-141/
              0.39596104                2083.598               14.297012           5.7983852e-10           3.9152711e-16   search-142/
              0.39727617               2097.4203               14.397009           5.6918778e-10           3.5774704e-16   search-143/
              0.39858703               2111.2433               14.497006           5.5879871e-10           5.4755466e-18   search-144/
              0.39989366               2125.0671               14.597003           5.4866654e-10            1.985439e-16   search-145/
               0.4011961               2138.8917                  14.697           5.3878123e-10           2.0013761e-16   search-146/
              0.40249439                2152.717               14.796997           5.2913722e-10           7.4739145e-18   search-147/
              0.40378857               2166.5431               14.896994           5.1972469e-10           3.5574655e-18   search-148/
              0.40507867                 2180.37               14.996991           5.1053993e-10           2.0315628e-16   search-149/
              0.40636474               2194.1976               15.096988           5.0157191e-10           1.8683942e-17   search-150/
              0.40764682               2208.0259               15.196985            4.928174e-10           1.9317719e-16   search-151/
              0.40892493               2221.8549               15.296982           4.8426978e-10           3.8168729e-18   search-152/
              0.41019912               2235.6846               15.396979           4.7592151e-10           3.7094343e-16   search-153/
              0.41146942               2249.5151               15.496976           4.6776671e-10            3.254966e-18   search-154/
              0.41273586               2263.3462               15.596973           4.5980181e-10           1.8382046e-16   search-155/
              0.41399849                2277.178               15.696971           4.5201804e-10           3.3996969e-18   search-156/
              0.41525733               2291.0105               15.796968           4.4441492e-10           3.4820003e-18   search-157/
              0.41651243               2304.8437               15.896965           4.3698182e-10           3.9066374e-16   search-158/
               0.4177638               2318.6775               15.996963           4.2971764e-10           2.4157723e-18   search-159/
              0.41901149                2332.512                16.09696             4.22616e-10           2.3015682e-18   search-160/
              0.42025552               2346.3471               16.196957           4.1567382e-10           3.0446301e-17   search-161/
              0.42149594               2360.1828               16.296955           4.0888329e-10            3.199938e-17   search-162/
              0.42273276               2374.0192               16.396952           4.0224473e-10           2.6336579e-18   search-163/
              0.42396603               2387.8562                16.49695           3.9575238e-10           2.3274067e-18   search-164/
              0.42519576               2401.6938               16.596947           3.8939802e-10           3.7362217e-16   search-165/
                0.426422                2415.532               16.696945           3.8318462e-10           1.9248835e-16   search-166/
              0.42764477               2429.3709               16.796942           3.7710298e-10           3.7801022e-16   search-167/
              0.42886409               2443.2103                16.89694           3.7115374e-10           2.3018151e-18   search-168/
              0.43008001               2457.0503               16.996938            3.653293e-10           1.3879635e-18   search-169/
              0.43129254               2470.8909               17.096935           3.5962927e-10           2.9139665e-18   search-170/
              0.43250171                2484.732               17.196933           3.5405001e-10           2.5870076e-17   search-171/
              0.43370756               2498.5737               17.296931           3.4858466e-10           2.2216269e-18   search-172/
              0.43491011                2512.416               17.396928           3.4323767e-10           3.3277985e-18   search-173/
              0.43610938               2526.2589               17.496926           3.3799817e-10           1.9736981e-18   search-174/
              0.43730541               2540.1023               17.596924           3.3286796e-10           1.3877794e-18   search-175/
              0.43849821               2553.9462               17.696922           3.2784232e-10           2.7872424e-18   search-176/
              0.43968782               2567.7907                17.79692           3.2292035e-10           1.1706249e-17   search-177/
              0.44087426               2581.6357               17.896918           3.1809572e-10           3.6612793e-16   search-178/
              0.44205755               2595.4812               17.996915           3.1337245e-10           2.8821937e-18   search-179/
              0.44323772               2609.3273               18.096913           3.0874014e-10           3.5796257e-16   search-180/
               0.4444148               2623.1739               18.196911           3.0420202e-10           2.3720326e-18   search-181/
               0.4455888               2637.0209               18.296909           2.9975398e-10           4.1838797e-18   search-182/
              0.44675976               2650.8685               18.396907           2.9539391e-10           2.5268015e-18   search-183/
              0.44792769               2664.7166               18.496905           2.9111894e-10           3.5122749e-16   search-184/
              0.44909262               2678.5652               18.596903           2.8692845e-10           3.2554157e-18   search-185/
