      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
0.289767      0.239443      0.239443   2.41613e-19   5.33597e-58   4.57176e-19   5.83767e-38     0.0815455             0       7.00848      0.819836      -6.18864       14.3481
0.291549       0.24001       0.24001   5.48884e-18   5.33597e-58   6.39972e-18   3.01273e-35     0.0817386             0       7.02508      0.821778       -6.2033       14.4161
0.293321      0.240572      0.240572   1.10951e-17   5.33597e-58   1.29488e-17   1.23101e-34     0.0819299             0       7.04152      0.823701      -6.21782       14.4837
0.295082      0.241129      0.241129   5.59883e-18   5.33597e-58   6.54746e-18   3.13469e-35     0.0821195             0       7.05781      0.825607      -6.23221       14.5508
0.296833      0.241681      0.241681   2.54991e-17   5.33597e-58   2.87704e-17   6.50204e-34     0.0823074             0       7.07396      0.827497      -6.24647       14.6175
0.298574      0.242227      0.242227   5.46603e-18   5.33597e-58   6.37393e-18   2.98774e-35     0.0824936             0       7.08997      0.829369       -6.2606       14.6837
0.300306      0.242769      0.242769   5.16825e-17   5.33597e-58   5.79684e-17   2.67108e-33     0.0826782             0       7.10584      0.831225      -6.27461       14.7495
0.302027      0.243307      0.243307   4.88821e-17   5.33597e-58   5.51694e-17   2.38946e-33     0.0828613             0       7.12157      0.833065       -6.2885       14.8149
0.303739       0.24384       0.24384   1.60909e-17   5.33597e-58   1.88757e-17   2.58917e-34     0.0830427             0       7.13716       0.83489      -6.30227       14.8798
0.305442      0.244368      0.244368   1.64841e-17   1.80954e-42     1.922e-17   2.71725e-34     0.0832227             0       7.15263      0.836698      -6.31593       14.9444
0.307136      0.244892      0.244892   1.68086e-17   3.32003e-49   1.96603e-17   2.82528e-34     0.0834011             0       7.16796      0.838492      -6.32947       15.0085
0.308821      0.245412      0.245412   5.71747e-18   5.56452e-56   6.73615e-18   3.26894e-35      0.083578             0       7.18317      0.840271       -6.3429       15.0723
0.310496      0.245927      0.245927   2.78102e-17   6.48568e-58   3.24721e-17   7.73409e-34     0.0837535             0       7.19825      0.842036      -6.35622       15.1356
0.312163      0.246438      0.246438   1.12669e-17   6.48567e-58   1.32001e-17   1.26944e-34     0.0839276             0       7.21322      0.843786      -6.36943       15.1986
0.313822      0.246945      0.246945   5.51312e-18     4.863e-42   6.42929e-18   3.03945e-35     0.0841003             0       7.22806      0.845522      -6.38254       15.2612
