      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
0.0840985      0.216943             0             0      0.216943      0.182064     0.0470642             0     0.0859081        1.0309      0.773173     -0.257724       1.02658
0.0850985      0.217695             0             0      0.217695       0.18261      0.047391             0     0.0863014       1.03562      0.776713     -0.258904        1.0337
0.0860985      0.218443             0             0      0.218443      0.183152     0.0477175             0     0.0866942       1.04033      0.780248     -0.260083       1.04082
0.0870985      0.219189             0             0      0.219189      0.183691      0.048044             0     0.0870866       1.04504       0.78378      -0.26126       1.04793
0.0880985      0.219932             0             0      0.219932      0.184228     0.0483702             0     0.0874786       1.04974      0.787307     -0.262436       1.05504
0.0890985      0.220672             0             0      0.220672      0.184761     0.0486963             0     0.0878701       1.05444      0.790831      -0.26361       1.06215
0.0900984       0.22141             0             0       0.22141       0.18529     0.0490223             0     0.0882612       1.05913      0.794351     -0.264784       1.06925
0.0910984      0.222144             0             0      0.222144      0.185817     0.0493481             0     0.0886519       1.06382      0.797867     -0.265956       1.07635
0.0920984      0.222876             0             0      0.222876      0.186341     0.0496738             0     0.0890422       1.06851       0.80138     -0.267127       1.08344
0.0930984      0.223605             0             0      0.223605      0.186861     0.0499993             0     0.0894322       1.07319       0.80489     -0.268297       1.09053
0.0940984      0.224332             0             0      0.224332      0.187379     0.0503247             0     0.0898218       1.07786      0.808396     -0.269465       1.09762
0.0950984      0.225055             0             0      0.225055      0.187893       0.05065             0     0.0902111       1.08253        0.8119     -0.270633       1.10471
0.0960984      0.225777             0             0      0.225777      0.188405     0.0509751             0        0.0906        1.0872        0.8154       -0.2718       1.11179
0.0970984      0.226495             0             0      0.226495      0.188914     0.0513001             0     0.0909887       1.09186      0.818898     -0.272966       1.11887
0.0980983      0.227211             0             0      0.227211       0.18942     0.0516251             0      0.091377       1.09652      0.822393     -0.274131       1.12595
0.0990983      0.227925             0             0      0.227925      0.189923     0.0519499             0     0.0917651       1.10118      0.825886     -0.275295       1.13302
0.100098      0.228636             0             0      0.228636      0.190423     0.0522745             0     0.0921529       1.10583      0.829376     -0.276459        1.1401
0.101098      0.229345             0             0      0.229345       0.19092     0.0525991             0     0.0925404       1.11049      0.832864     -0.277621       1.14717
0.102098      0.230051             0             0      0.230051      0.191414     0.0529236             0     0.0929277       1.11513      0.836349     -0.278783       1.15423
0.103098      0.230755             0             0      0.230755      0.191906      0.053248             0     0.0933147       1.11978      0.839833     -0.279944        1.1613
0.104098      0.231457             0             0      0.231457      0.192395     0.0535723             0     0.0937015       1.12442      0.843314     -0.281105       1.16836
0.105098      0.232156             0             0      0.232156      0.192881     0.0538965             0     0.0940881       1.12906      0.846793     -0.282264       1.17542
0.106098      0.232853             0             0      0.232853      0.193364     0.0542206             0     0.0944745       1.13369       0.85027     -0.283423       1.18248
0.107098      0.233548             0             0      0.233548      0.193845     0.0545446             0     0.0948606       1.13833      0.853746     -0.284582       1.18954
0.108098       0.23424             0             0       0.23424      0.194323     0.0548685             0     0.0952466       1.14296      0.857219      -0.28574        1.1966
0.109098      0.234931             0             0      0.234931      0.194799     0.0551924             0     0.0956324       1.14759      0.860691     -0.286897       1.20365
0.110098      0.235619             0             0      0.235619      0.195271     0.0555162             0      0.096018       1.15222      0.864162     -0.288054        1.2107
