      #(P)            L2            u2            v2            w2           e3d           ecf         ubulk         wbulk     wallshear   wallshear_a   wallshear_b   dissipation
0.108629       6.65787       1.47776   7.08063e-19        6.4918       6.43256       42.1435        1.2245      0.606253       12.5519       2.44998      -10.1019       947.537
0.106779       6.81613       1.51286   7.08063e-19       6.64611       6.58538       44.1708       1.25359      0.623018       12.8259       2.48815      -10.3377       993.031
0.104799       6.97124       1.54727             0       6.79736       6.73515       46.2041        1.2821      0.639591        13.093       2.52438      -10.5686       1038.65
0.102692         7.123       1.58093   7.08063e-19       6.94534       6.88167       48.2378          1.31      0.655954       13.3528       2.55859      -10.7942       1084.27
0.100461       7.27121       1.61381             0       7.08986       7.02476       50.2661       1.33723      0.672089        13.605        2.5907      -11.0143       1129.76
0.0981104       7.41568       1.64585             0       7.23073       7.16423       52.2835       1.36378      0.687981       13.8491       2.62063      -11.2285          1175
0.0956424       7.55622       1.67701             0       7.36777        7.2999       54.2841       1.38961      0.703613       14.0848        2.6483      -11.4365       1219.85
0.0930609       7.69265       1.70727             0       7.50081        7.4316       56.2621       1.41468      0.718972       14.3118       2.67363      -11.6382       1264.19
0.0903696        7.8248       1.73657             0       7.62967       7.55915       58.2119       1.43896      0.734045       14.5297       2.69654      -11.8331       1307.88
0.0875723       7.95251       1.76489             0        7.7542        7.6824       60.1276       1.46242      0.748819       14.7381       2.71693      -12.0211        1350.8
0.0846729       8.07561       1.79218             0       7.87423       7.80119       62.0035       1.48504      0.763284       14.9367       2.73473       -12.202       1392.82
0.0816755       8.19395       1.81841             0       7.98963       7.91538       63.8341       1.50678      0.777431       15.1252       2.74983      -12.3754       1433.81
0.0785841       8.30738       1.84355             0       8.10024       8.02482       65.6139       1.52761      0.791254       15.3032       2.76213      -12.5411       1473.64
0.0754032       8.41578       1.86758             0       8.20594       8.12939       67.3374       1.54751      0.804746       15.4705       2.77154      -12.6989        1512.2
0.0721369         8.519       1.89045             0       8.30659       8.22894       68.9995       1.56647      0.817906       15.6266       2.77791      -12.8487       1549.37
0.0687897       8.61692       1.91214             0       8.40209       8.32338       70.5951       1.58444      0.830733       15.7712       2.78114      -12.9901       1585.04
0.0653661       8.70944       1.93263             0       8.49231       8.41257       72.1193       1.60142      0.843231       15.9041       2.78105       -13.123       1619.09
0.0618708       8.79644        1.9519             0       8.57715       8.49642       73.5674       1.61738      0.855406       16.0248       2.77749      -13.2473       1651.42
0.0583085       8.87782       1.96991             0       8.65651       8.57484       74.9352       1.63231      0.867273       16.1329       2.77023      -13.3626       1681.93
