                      %P                     obs                       s                guesserr                   error     directory
              0.16009766               347.31171                   15.01           3.5663584e-10           7.2233668e-12   search-149/
              0.16109765               351.60126                   15.11           4.0585126e-10           2.2119144e-12   search-150/
              0.16209764               355.91747                   15.21           3.8808639e-10           9.2718519e-12   search-151/
              0.16309763               360.26035                   15.31           3.9838492e-10           1.6456314e-12   search-152/
              0.16409762                364.6299                   15.41           4.1979595e-10           7.6372695e-12   search-153/
              0.16509761               369.02611                   15.51           4.0034374e-10           7.3342572e-12   search-154/
               0.1660976               373.44899                   15.61           4.3119388e-10           5.7830957e-12   search-155/
              0.16709759               377.89853                   15.71           3.9506998e-10           3.8240672e-12   search-156/
              0.16809758               382.37473                   15.81           4.1753297e-10           6.8384596e-12   search-157/
              0.16909757               386.87761                   15.91           3.8704575e-10           3.7227102e-12   search-158/
              0.17009756               391.40714                   16.01           4.4196647e-10           4.8629268e-12   search-159/
              0.17109755               395.96334                   16.11            4.140217e-10           6.7212146e-12   search-160/
              0.17209754               400.54621                   16.21           3.6533702e-10           5.2140826e-12   search-161/
              0.17309753               405.15574                   16.31           3.9548854e-10           3.8760662e-12   search-162/
              0.17409752               409.79194                   16.41            3.948142e-10            4.500088e-12   search-163/
              0.17509751                414.4548                   16.51           3.3779716e-10           6.2141238e-12   search-164/
               0.1760975               419.14433                   16.61           3.3508497e-10           4.1944775e-12   search-165/
              0.17709749               423.86052                   16.71            3.595017e-10           1.1600984e-12   search-166/
              0.17809748               428.60338                   16.81           2.9266232e-10           2.3045153e-12   search-167/
              0.17909747               433.37291                   16.91           2.6897521e-10            4.148015e-12   search-168/
              0.18009746               438.16909                   17.01           2.7625274e-10            9.412465e-12   search-169/
              0.18109745               442.99195                   17.11           2.2387564e-10           5.9363504e-15   search-170/
              0.18209744               447.84147                   17.21           1.9727175e-10           1.5179977e-12   search-171/
              0.18309743               452.71765                   17.31           1.4526867e-10           7.2048791e-12   search-172/
              0.18409742                457.6205                   17.41           1.3006899e-10            6.124225e-12   search-173/
              0.18509741               462.55002                   17.51           8.8288893e-11            9.452746e-12   search-174/
               0.1860974               467.50619                   17.61           6.6718463e-11           3.9641731e-12   search-175/
